origem;destino;media custo(reais);menor tempo (horas)
SBCY;SBVT;615.5;5
SBCY;SBGO;620;1
SBCY;SBIZ;1167.5;9
SBCY;SBSL;805.5;7
SBCY;SBCF;706.5;2
SBCY;SBGV;1614.0;9
SBCY;SBJF;1090.0;6
SBCY;SBMK;735.0;5
SBCY;SBIP;848.5;5
SBCY;SBUR;2142.5;12
SBCY;SBUL;592.5;4
SBCY;SBCG;591.5;1
SBCY;SBAT;391.0;1
SBCY;SWSI;726.5;1
SBCY;SBHT;1716.5;11
SBCY;SBBE;812.5;7
SBCY;SBMA;1444.5;9
SBCY;SBSN;2118.5;11
SBCY;SBJP;815.5;5
SBCY;SBKG;954.5;13
SBCY;SBFN;1982.5;5
SBCY;SBPL;916.0;9
SBCY;SBRF;778.0;3
SBCY;SBTE;728.5;7
SBCY;SBCA;617.0;4
SBCY;SBCT;985.0;3
SBCY;SBFI;537.0;6
SBCY;SBLO;697.0;11
SBCY;SBMG;1490.0;4
SBCY;SBCB;1151.0;5
SBCY;SBGL;572.0;8
SBCY;SBSG;797.0;8
SBCY;SBPV;741.5;1
SBCY;SBVH;775.0;1
SBCY;SBBV;1214.5;10
SBCY;SBPF;1005.0;5
SBCY;SBPA;539.0;5
SBCY;SBCH;1018.0;7
SBCY;SBFL;786.0;4
SBCY;SBJV;737.0;6
SBCY;SBNF;665.5;5
SBCY;SBAR;970.0;13
SBCY;SBAU;971.5;7
SBCY;SBKP;879.5;2
SBCY;SBGR;560.5;2
SBCY;SBML;608.5;7
SBCY;SBDN;1223.5;5
SBCY;SBRP;609.0;4
SBCY;SBSR;649.0;4
SBCY;SBSP;586.0;2
SBCY;SWGN;1166.0;27
SBCY;SBPJ;799.5;5
SBCY;SBRJ;719;16
SBBE;SBCZ;1111.5;8
SBBE;SBRB;767.5;14
SBBE;SBMO;1555;9
SBBE;SBEG;210.0;2
SBBE;SBTT;821.0;3
SBBE;SBMQ;230.5;1
SBBE;SNBR;777.0;8
SBBE;SBIL;1577.5;7
SBBE;SBPS;794.5;5
SBBE;SBSV;408.0;8
SBBE;SBQV;1133.0;7
SBBE;SBFZ;267.5;1
SBBE;SBJU;1596.5;8
SBBE;SBBR;813.5;2
SBBE;SBVT;507.0;5
SBBE;SBCN;1239.5;10
SBBE;SBGO;678.0;5
SBBE;SBIZ;974.0;21
SBBE;SBSL;795.5;1
SBBE;SBCF;633.5;3
SBBE;SBGV;1101.0;6
SBBE;SBMK;612.5;6
SBBE;SBIP;1167.0;6
SBBE;SBUR;1095.0;9
SBBE;SBUL;847.5;12
SBBE;SBCG;525.5;5
SBBE;SBAT;992.0;21
SBBE;SWSI;965.0;18
SBBE;SBCY;810.0;6
SBBE;SBHT;317.5;1
SBBE;SBMA;469.0;1
