origem;destino;preco;duracao
SBFZ;SBIP;[1527, 1607];'[''5h 45m'', ''5h 45m'']'
SBFZ;SBUR;[1141, 1221];'[''8h 40m'', ''8h 40m'']'
SBFZ;SBUL;[377, 429, 442, 441];'[''7h 15m'', ''5h 50m'', ''7h 15m'', ''14h 25m'']'
SBFZ;SBCG;[502, 502, 582, 582];'[''5h 40m'', ''12h 25m'', ''5h 40m'', ''12h 25m'']'
SBFZ;SBAT;[1312, 1392, 2100, 2185];'[''7h 55m'', ''7h 55m'', ''26h'', ''26h'']'
SBFZ;SWRD;[2100, 2185];'[''28h 55m'', ''28h 55m'']'
SBFZ;SWSI;[1254, 1334, 2100, 2185];'[''10h 25m'', ''10h 25m'', ''23h 25m'', ''23h 25m'']'
SBFZ;SBCY;[1241, 1241, 1293, 1306];'[''8h 5m'', ''10h 40m'', ''8h 35m'', ''8h 5m'']'
SBFZ;SBHT;[1210, 1290, 2100, 2185];'[''8h 5m'', ''8h 5m'', ''18h 10m'', ''18h 10m'']'
SBFZ;SBBE;[330, 390, 507, 572];'[''1h 55m'', ''1h 55m'', ''4h 5m'', ''4h 5m'']'
SBFZ;SBMA;[502, 642, 670, 745];'[''6h 20m'', ''6h 20m'', ''6h 20m'', ''6h 20m'']'
SBFZ;SBSN;[909, 909, 984, 984];'[''18h 35m'', ''18h 35m'', ''18h 35m'', ''18h 35m'']'
SBFZ;SBJP;[832, 897, 911, 915];'[''5h 20m'', ''5h 20m'', ''4h 25m'', ''3h 10m'']'
SBFZ;SBKG;[855, 920];'[''10h'', ''10h'']'
SBFZ;SBFN;[947, 994, 1156, 1217];'[''2h 50m'', ''2h 50m'', ''4h'', ''3h'']'
SBFZ;SBPL;[903, 903, 968, 968];'[''4h 45m'', ''9h 25m'', ''4h 45m'', ''9h 25m'']'
SBFZ;SBTE;[170, 188, 230, 253];'[''1h 5m'', ''1h 5m'', ''1h 5m'', ''1h 5m'']'
SBFZ;SBCA;[622, 632, 685, 702];'[''8h 40m'', ''8h 25m'', ''8h 25m'', ''8h 40m'']'
SBFZ;SBCT;[600, 600, 659, 665];'[''6h 40m'', ''5h 35m'', ''5h 40m'', ''5h 40m'', ''6h 40m'']'
SBFZ;SBFI;[560, 601, 601, 625];'[''6h'', ''5h 40m'', ''8h 10m'', ''6h'']'
SBFZ;SBLO;[567, 567, 637, 639];'[''7h 20m'', ''8h 35m'', ''7h 20m'', ''7h 25m'']'
SBFZ;SBMG;[1018, 1083, 1139, 1139];'[''8h'', ''8h'', ''8h 5m'', ''8h 25m'']'
SBFZ;SBCB;[877, 957];'[''5h 40m'', ''5h 40m'']'
SBFZ;SBGL;[448, 508, 562, 627];'[''3h 10m'', ''3h 10m'', ''5h 45m'', ''5h 45m'']'
SBFZ;SBSG;[139, 139, 194, 204];'[''55m'', ''55m'', ''55m'', ''55m'', ''55m'', ''55m'']'
SBFZ;SSKW;[2100, 2185];'[''26h 10m'', ''26h 10m'']'
SBFZ;SBPV;[1026, 1101, 1121, 1170];'[''11h 10m'', ''11h 10m'', ''17h 30m'', ''9h 50m'']'
SBFZ;SBVH;[2100, 2185];'[''26h'', ''26h'']'
SBFZ;SBBV;[1114, 1204, 1234, 1281];'[''7h 55m'', ''7h 55m'', ''7h 25m'', ''7h 25m'']'
SBFZ;SBCX;[2100, 2185];'[''18h 25m'', ''18h 25m'']'
SBFZ;SBPF;[1002, 1067, 1404, 1428];'[''8h 40m'', ''8h 40m'', ''8h 25m'', ''8h 25m'']'
SBFZ;SBPA;[627, 707, 657, 698, 704];'[''6h 15m'', ''6h 15m'', ''6h 25m'', ''7h 45m'', ''7h 35m'']'
SBFZ;SBCH;[770, 800, 835, 865];'[''6h 5m'', ''16h 40m'', ''6h 5m'', ''16h 40m'']'
SBFZ;SBFL;[888, 953, 918, 932, 935];'[''7h'', ''7h'', ''8h 20m'', ''6h 30m'', ''8h 25m'']'
SBFZ;SBJV;[491, 556, 501, 491, 554];'[''9h 50m'', ''9h 50m'', ''8h 50m'', ''9h 50m'', ''18h 40m'']'
SBFZ;SBNF;[569, 629, 572, 597, 572];'[''9h'', ''9h'', ''7h 10m'', ''6h 25m'', ''15h 55m'']'
SBFZ;SBAR;[429, 472, 484, 495];'[''21h 35m'', ''3h 45m'', ''21h 35m'', ''14h 10m'']'
SBFZ;SBAU;[756, 836];'[''6h 45m'', ''6h 45m'']'
SBFZ;SBKP;[665, 705, 745, 785];'[''4h 45m'', ''5h 40m'', ''4h 45m'', ''5h 40m'']'
SBFZ;SBGR;[400, 400, 450, 465];'[''3h 25m'', ''3h 25m'', ''3h 35m'', ''3h 25m'', ''3h 35m'']'
SBFZ;SBML;[496, 576];'[''6h 35m'', ''6h 35m'']'
SBFZ;SBDN;[1016, 1093, 1484, 1549];'[''9h 35m'', ''9h 35m'', ''6h 50m'', ''6h 50m'']'
SBFZ;SBRP;[631, 701, 631, 636, 636];'[''9h 25m'', ''9h 25m'', ''9h 25m'', ''9h 50m'', ''18h 45m'']'
SBFZ;SBSR;[596, 661, 596, 596, 639];'[''6h 40m'', ''6h 40m'', ''13h 10m'', ''12h 45m'', ''7h 30m'']'
SBFZ;SBSP;[842, 907, 914, 918];'[''4h 55m'', ''5h 5m'', ''5h 5m'', ''5h 5m'', ''16h 25m'', ''5h 30m'']'
SBFZ;SWGN;[1170, 1235];'[''21h 40m'', ''21h 40m'']'
SBFZ;SBPJ;[905, 975, 985, 1170];'[''7h 30m'', ''8h 50m'', ''8h 50m'', ''7h 30m'', ''5h 35m'']'
SBFZ;SBRJ;[700, 790, 690, 700, 774];'[''16h 45m'', ''16h 45m'', ''8h 25m'', ''13h 5m'', ''6h 55m'']'
SBBR;SBCZ;[808, 854];'[''5h 5m'', ''5h 5m'']'
SBBR;SBRB;[1022, 1022, 1087, 1107];'[''3h 20m'', ''3h 25m'', ''3h 25m'', ''3h 25m'', ''3h 25m'', ''3h 20m'']'
SBBR;SBMO;[703, 747, 768, 812];'[''9h 15m'', ''18h 25m'', ''9h 15m'', ''18h 25m'']'
SBBR;SBEG;[604, 604, 669, 669];'[''2h 55m'', ''2h 55m'', ''2h 55m'', ''2h 55m'', ''2h 55m'', ''2h 55m'']'
SBBR;SBMQ;[1087, 1088, 1152, 1153];'[''2h 45m'', ''8h 20m'', ''2h 45m'', ''8h 20m'']'
SBBR;SNBR;[615, 676, 680, 741];'[''15h 35m'', ''4h 20m'', ''15h 35m'', ''4h 20m'']'
SBBR;SBIL;[1012, 1087, 1476, 1541];'[''5h 10m'', ''5h 10m'', ''5h 45m'', ''5h 45m'']'
SBBR;SBPS;[548, 768, 548, 613];'[''5h 30m'', ''1h 45m'', ''13h'', ''5h 30m'']'
SBBR;SBSV;[363, 418, 602, 615];'[''1h 50m'', ''1h 50m'', ''9h'', ''4h 40m'']'
SBBR;SNVB;[2100, 2185];'[''7h 35m'', ''7h 35m'']'
SBBR;SBQV;[734, 799, 879, 925];'[''3h 15m'', ''3h 15m'', ''5h 25m'', ''7h 20m'']'
SBBR;SBFZ;[617, 742, 630, 682];'[''9h 15m'', ''2h 35m'', ''6h'', ''9h 15m'']'
SBBR;SBJU;[1005, 1055, 1080, 1130];'[''11h 30m'', ''9h 10m'', ''11h 30m'', ''9h 10m'']'
SBBR;SBVT;[356, 569, 421, 452];'[''6h 5m'', ''1h 45m'', ''6h 5m'', ''3h 50m'']'
SBBR;SBGO;[300, 375, 2199];'[''50m'', ''50m'', ''4h 10m'']'
SBBR;SBIZ;[569, 649];'[''2h'', ''2h'', ''2h'', ''2h'']'
SBBR;SBSL;[543, 583, 583, 608];'[''10h 30m'', ''2h 25m'', ''13h'', ''10h 30m'']'
SBBR;SBCF;[289, 321, 354, 386];'[''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 10m'', ''1h 10m'', ''1h 20m'', ''1h 20m'', ''1h 20m'', ''1h 10m'', ''1h 10m'']'
SBBR;SBGV;[1346, 1431];'[''7h'', ''7h'']'
SBBR;SBJF;[780, 861];'[''4h 20m'', ''4h 20m'']'
SBBR;SBMK;[490, 628, 768, 848];'[''5h 5m'', ''5h 5m'', ''7h 5m'', ''7h 5m'']'
SBBR;SBIP;[557, 637];'[''3h 25m'', ''3h 25m'']'
SBBR;SBUL;[513, 557, 649, 622];'[''1h 10m'', ''13h 55m'', ''1h 10m'', ''13h 55m'']'
SBBR;SBCG;[373, 443, 505, 536];'[''1h 45m'', ''1h 45m'', ''1h 45m'', ''1h 45m'', ''4h 15m'', ''4h 35m'']'
SBBR;SBCR;[992, 1072];'[''4h 25m'', ''4h 25m'']'
SBBR;SBAT;[975, 1055];'[''3h 50m'', ''3h 50m'']'
SBBR;SWSI;[1069, 1154];'[''3h 20m'', ''3h 20m'']'
SBBR;SBCY;[500, 565, 571, 593];'[''1h 40m'', ''1h 40m'', ''1h 45m'', ''1h 45m'', ''1h 40m'']'
SBBR;SBHT;[969, 1049];'[''8h 45m'', ''8h 45m'']'
SBBR;SBBE;[762, 820, 820, 827];'[''6h 25m'', ''2h 30m'', ''2h 30m'', ''2h 30m'', ''6h 25m'']'
SBBR;SBMA;[485, 485, 555, 608];'[''2h'', ''2h'', ''2h'', ''2h'']'
SBBR;SBSN;[531, 596];'[''8h 30m'', ''8h 30m'']'
SBBR;SBJP;[588, 653, 692, 623, 647];'[''8h 20m'', ''8h 20m'', ''2h 40m'', ''16h 45m'', ''4h 15m'']'
SBBR;SBKG;[855, 920, 1508, 1583];'[''5h 50m'', ''5h 50m'', ''23h 55m'', ''23h 55m'']'
SBBR;SBFN;[1390, 1459, 1470, 1539];'[''23h 15m'', ''5h'', ''23h 15m'', ''5h'']'
